Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,57.900002,58.189999,57.590000,58.040001,52.648903,10470100
2019-09-04,58.240002,58.549999,57.959999,58.180000,52.775894,9232200
2019-09-05,58.580002,58.630001,58.189999,58.590000,53.147812,9232300
2019-09-06,58.689999,59.099998,58.470001,59.060001,53.574154,8920200
2019-09-09,59.490002,59.520000,58.639999,58.660000,53.211308,12848700
2019-09-10,59.250000,59.799999,58.790001,59.709999,54.163780,13987000
2019-09-11,59.900002,60.180000,59.520000,60.130001,54.544773,12241500
2019-09-12,60.099998,60.549999,59.980000,60.430000,54.816906,9491400
2019-09-13,60.080002,60.450001,59.730000,59.959999,54.390564,10719300
2019-09-16,59.930000,59.990002,59.189999,59.500000,53.973286,10950500
2019-09-17,59.320000,59.900002,59.320000,59.869999,54.308918,8801700
2019-09-18,59.610001,59.980000,59.380001,59.930000,54.363346,8451900
2019-09-19,59.980000,60.400002,59.799999,59.980000,54.408703,7651700
2019-09-20,60.270000,60.380001,59.970001,60.290001,54.689911,21019900
2019-09-23,60.130001,60.689999,59.930000,60.209999,54.617332,8437000
2019-09-24,60.549999,61.000000,60.410000,60.509998,54.889473,12846300
2019-09-25,60.580002,60.660000,60.110001,60.270000,54.671776,8088100
2019-09-26,60.139999,60.669998,60.070000,60.439999,54.825974,7438800
2019-09-27,60.560001,60.700001,60.020000,60.299999,54.698975,7799000
2019-09-30,60.490002,60.900002,60.330002,60.360001,54.753410,9709400
2019-10-01,60.400002,60.430000,59.810001,59.849998,54.290775,8381600
2019-10-02,59.700001,59.720001,58.720001,58.910000,53.438095,12011700
2019-10-03,59.000000,59.119999,58.330002,59.009998,53.528801,9769300
2019-10-04,58.970001,59.980000,58.959999,59.900002,54.336132,9824900
2019-10-07,59.919998,60.590000,59.900002,60.250000,54.653622,13744600
2019-10-08,60.119999,60.189999,59.290001,59.720001,54.172852,13832800
2019-10-09,59.400002,59.450001,58.930000,59.220001,54.278259,10609200
2019-10-10,59.259998,60.020000,59.200001,59.830002,54.837357,11832100
2019-10-11,60.000000,60.380001,59.889999,59.930000,54.929008,11349000
2019-10-14,59.930000,59.980000,59.560001,59.599998,54.626545,6876100
2019-10-15,59.680000,60.689999,59.599998,60.549999,55.497269,11679200
2019-10-16,60.139999,60.410000,59.950001,60.290001,55.258968,9298100
2019-10-17,60.230000,60.430000,60.160000,60.410000,55.368954,7323700
2019-10-18,60.349998,61.299999,60.310001,61.049999,55.955544,12339700
2019-10-21,61.009998,61.230000,60.660000,60.750000,55.680588,10882300
2019-10-22,61.230000,61.230000,60.509998,60.770000,55.698917,9603600
2019-10-23,60.599998,61.320000,60.549999,60.880001,55.799736,10375600
2019-10-24,60.880001,61.020000,60.410000,60.580002,55.524773,11143800
2019-10-25,60.599998,60.880001,59.209999,60.369999,55.332291,15036400
2019-10-28,60.450001,60.660000,60.040001,60.180000,55.158150,14621400
2019-10-29,60.110001,60.320000,60.070000,60.189999,55.167313,10619900
2019-10-30,60.459999,61.070000,60.410000,60.820000,55.744747,12136500
2019-10-31,60.799999,60.820000,60.099998,60.470001,55.423950,12226600
2019-11-01,61.290001,61.340000,60.160000,60.369999,55.332291,9629100
2019-11-04,59.680000,60.610001,59.549999,59.869999,54.874020,10133300
2019-11-05,59.700001,59.869999,59.349998,59.500000,54.534889,10645400
2019-11-06,59.700001,60.130001,59.630001,60.130001,55.112320,9287600
2019-11-07,60.259998,60.580002,59.959999,60.529999,55.478935,14604400
2019-11-08,60.049999,60.160000,58.959999,59.349998,54.397408,17644600
2019-11-11,59.299999,59.689999,59.209999,59.610001,54.635712,7754000
2019-11-12,59.910000,59.939999,59.139999,59.320000,54.369915,7709400
2019-11-13,59.150002,59.520000,58.799999,59.410000,54.452400,10255600
2019-11-14,58.930000,59.340000,58.840000,59.340000,54.388241,9530200
2019-11-15,59.480000,59.529999,59.060001,59.509998,54.544056,11758800
2019-11-18,59.459999,59.459999,59.049999,59.439999,54.479900,10165100
2019-11-19,59.430000,59.750000,59.279999,59.500000,54.534889,10492700
2019-11-20,59.490002,59.660000,59.090000,59.480000,54.516560,12362100
2019-11-21,59.610001,59.689999,59.270000,59.610001,54.635712,8056000
2019-11-22,59.660000,60.029999,59.660000,59.750000,54.764030,10741300
2019-11-25,59.830002,59.849998,59.220001,59.380001,54.424904,10644500
2019-11-26,59.549999,59.910000,59.130001,59.889999,54.892345,11936900
2019-11-27,60.009998,60.270000,59.990002,60.099998,55.084824,8795300
2019-11-29,60.160000,60.529999,60.160000,60.240002,55.213142,6791400
2019-12-02,60.200001,60.230000,59.630001,59.959999,54.956505,9142000
2019-12-03,59.990002,60.200001,59.580002,60.139999,55.121487,10289400
2019-12-04,60.020000,60.630001,59.849998,60.529999,55.478935,8237500
2019-12-05,60.630001,60.919998,60.320000,60.820000,55.744747,9812500
2019-12-06,61.000000,61.279999,60.910000,61.189999,56.083862,9296900
2019-12-09,60.980000,61.110001,60.869999,61.009998,55.918880,9370200
2019-12-10,61.150002,61.230000,60.790001,61.230000,56.120525,8290900
2019-12-11,61.360001,61.419998,60.990002,61.080002,55.983040,9657500
2019-12-12,61.099998,61.630001,61.099998,61.169998,56.065529,8571600
2019-12-13,61.119999,61.189999,60.250000,60.810001,55.735577,10585900
2019-12-16,60.730000,61.270000,60.709999,61.230000,56.120525,11493000
2019-12-17,61.400002,61.709999,61.349998,61.490002,56.358833,13648700
2019-12-18,61.509998,61.700001,60.820000,60.860001,55.781403,17292600
2019-12-19,60.900002,61.130001,60.689999,60.799999,55.726410,11901600
2019-12-20,61.459999,62.220001,61.139999,62.070000,56.890430,42977900
2019-12-23,62.009998,62.150002,61.320000,61.400002,56.276337,9477500
2019-12-24,61.459999,61.459999,61.020000,61.279999,56.166351,6640100
2019-12-26,61.279999,61.369999,61.110001,61.290001,56.175522,8117800
2019-12-27,61.389999,61.619999,61.250000,61.529999,56.395489,8166800
2019-12-30,61.650002,61.689999,61.090000,61.209999,56.102192,6765400
2019-12-31,61.209999,61.400002,60.939999,61.400002,56.276337,8466700
2020-01-02,61.380001,61.450001,60.810001,61.049999,55.955544,11447900
2020-01-03,60.590000,60.790001,60.070000,60.400002,55.359795,13263200
2020-01-06,60.110001,60.590000,60.080002,60.270000,55.240639,15094500
2020-01-07,60.099998,60.180000,59.580002,59.599998,54.626545,14293100
2020-01-08,59.669998,60.099998,59.630001,59.709999,54.727367,15926500
