date,open,high,low,close,volume,R
2012-06-21 09:30:00,27.52,27.53,27.51,27.525,11946,0.0
2012-06-21 09:30:01,27.52,27.54,27.51,27.53,4654,0.0
2012-06-21 09:30:02,27.52,27.54,27.44,27.44,25550,0.0
2012-06-21 09:30:03,27.46,27.5,27.46,27.46,4910,0.0
2012-06-21 09:30:04,27.47,27.47,27.47,27.47,200,-0.00069
2012-06-21 09:30:05,27.47,27.48,27.46,27.47,2988,-0.00018
2012-06-21 09:30:06,27.475,27.48,27.475,27.48,400,0.00029
2012-06-21 09:30:07,27.49,27.49,27.49,27.49,500,0.00069
2012-06-21 09:30:08,27.49,27.49,27.49,27.49,0,0.00055
2012-06-21 09:30:09,27.49,27.5,27.49,27.49,2430,0.00047
2012-06-21 09:30:10,27.49,27.49,27.49,27.49,100,0.00047
2012-06-21 09:30:11,27.5,27.5,27.5,27.5,1200,0.00036
2012-06-21 09:30:12,27.5,27.5,27.5,27.5,0,0.00022
2012-06-21 09:30:13,27.5,27.5,27.5,27.5,1600,0.00015
2012-06-21 09:30:14,27.51,27.51,27.5,27.5,7274,0.0
2012-06-21 09:30:15,27.5,27.5,27.49,27.49,3200,-0.00015
2012-06-21 09:30:16,27.49,27.5,27.49,27.49,1200,-7e-05
2012-06-21 09:30:17,27.5,27.51,27.5,27.51,2600,7e-05
2012-06-21 09:30:18,27.5,27.5,27.5,27.5,300,0.00015
2012-06-21 09:30:19,27.5,27.5,27.5,27.5,0,0.00036
2012-06-21 09:30:20,27.5,27.5,27.5,27.5,0,0.00051
2012-06-21 09:30:21,27.51,27.51,27.51,27.51,1300,0.00058
2012-06-21 09:30:22,27.51,27.51,27.51,27.51,0,0.00058
2012-06-21 09:30:23,27.52,27.52,27.52,27.52,100,0.00058
2012-06-21 09:30:24,27.52,27.52,27.52,27.52,400,0.00065
2012-06-21 09:30:25,27.53,27.53,27.52,27.52,200,0.00058
2012-06-21 09:30:26,27.52,27.52,27.52,27.52,100,0.00058
2012-06-21 09:30:27,27.53,27.55,27.53,27.54,2004,0.00073
2012-06-21 09:30:28,27.55,27.55,27.55,27.55,600,0.00073
